Date,High,Low,Open,Close,Volume,Adj Close
2020-03-16,7438.5419921875,6363.9658203125,7438.5419921875,7023.05517578125,63540416256.0,7023.05517578125
2020-03-17,7517.7822265625,6977.76171875,7006.3857421875,7439.9375,54988601653.0,7439.9375
2020-03-18,7715.43017578125,7324.11083984375,7442.05078125,7576.998046875,54788769002.0,7576.998046875
2020-03-19,9189.4033203125,7665.8173828125,7587.09130859375,8981.1298828125,73983191567.0,8981.1298828125
2020-03-20,9753.763671875,8439.810546875,8981.798828125,8905.474609375,78215501618.0,8905.474609375
2020-03-21,9163.1474609375,8523.390625,8916.599609375,8885.775390625,61049566657.0,8885.775390625
2020-03-22,9136.6591796875,8414.2763671875,8886.4814453125,8429.4228515625,57976375979.0,8429.4228515625
2020-03-23,9330.8818359375,8372.2490234375,8431.0419921875,9291.0673828125,67322061060.0,9291.0673828125
2020-03-24,9765.302734375,9247.546875,9320.5029296875,9725.8310546875,69637984530.0,9725.8310546875
2020-03-25,9887.4453125,9412.173828125,9731.4814453125,9497.5654296875,63387736720.0,9497.5654296875
2020-03-26,9587.427734375,9371.05078125,9489.189453125,9428.9287109375,49583980477.0,9428.9287109375
2020-03-27,9518.5654296875,9067.9326171875,9433.068359375,9072.2744140625,48497655309.0,9072.2744140625
2020-03-28,9069.0537109375,8579.349609375,9068.70703125,8753.740234375,48921296542.0,8753.740234375
2020-03-29,8765.3427734375,8308.953125,8758.5517578125,8319.2744140625,39859304272.0,8319.2744140625
2020-03-29,9234.5732421875,8281.46484375,8324.1845703125,9118.2744140625,52614519858.0,9118.2744140625
2020-03-30,9231.5009765625,9078.6240234375,9119.3583984375,9065.6123046875,46163348087.0,9065.6123046875
2020-03-31,9359.734375,8819.4462890625,9063.7451171875,9351.5283203125,57108147326.0,9351.5283203125
2020-04-01,10047.3994140625,9333.6201171875,9351.5283203125,9600.580078125,67352833587.0,9600.580078125
2020-04-02,9933.54296875,9435.2421875,9605.9111328125,9566.9521484375,55378714626.0,9566.9521484375
2020-04-03,9780.048828125,9520.626953125,9574.0498046875,9763.8037109375,47181681479.0,9763.8037109375
2020-04-04,9786.390625,9548.271484375,9756.7099609375,9680.4833984375,42065908833.0,9680.4833984375
2020-04-05,10261.4140625,9664.681640625,9676.09375,10261.4140625,66177535215.0,10261.4140625
2020-04-06,10406.0380859375,9986.83203125,10264.04296875,10058.51953125,62012019255.0,10058.51953125
2020-04-07,10337.451171875,10037.7333984375,10062.541015625,10271.8447265625,52609584788.0,10271.8447265625
2020-04-08,10285.8828125,10085.486328125,10277.26171875,10215.017578125,48703490053.0,10215.017578125
2020-04-09,10217.431640625,9501.560546875,10217.431640625,9579.7666015625,60869131178.0,9579.7666015625
2020-04-10,9664.291015625,9474.3154296875,9582.4833984375,9570.8212890625,43565737625.0,9570.8212890625
2020-04-11,9920.8984375,9503.837890625,9569.4052734375,9736.3916015625,49944708680.0,9736.3916015625
2020-04-12,9728.744140625,9322.447265625,9728.744140625,9496.7373046875,53580042624.0,9496.7373046875
2020-04-13,9680.556640625,9441.203125,9494.30078125,9498.083984375,47349239274.0,9498.083984375
2020-04-14,9633.6630859375,9367.2265625,9502.43359375,9378.7919921875,45591740942.0,9378.7919921875
2020-04-15,10016.2763671875,9260.4951171875,9376.4541015625,9992.0078125,65683765863.0,9992.0078125
2020-04-17,10178.2666015625,9925.2646484375,9929.52734375,10161.0576171875,45427523864.0,10161.0576171875
2020-04-18,10193.05859375,10034.19921875,10165.6181640625,10102.0048828125,43996007698.0,10102.0048828125
